Notebook,Time,Model,Num Rows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-L Sum,BERTScore Precision,BERTScore Recall,BERTScore F1,Average BLEURT,Aggregated Score
20231205_Step_92_FInalRound_Clinical-T5_v1.00,2023-12-05 22:01:36,20231130_Clinic-T5-Lrg_5ep_Summ_Loss_1.16,200.0,0.2806591512121955,0.1281250590859422,0.2380315471235516,0.2380315471235516,0.597970113158226,0.6294502884149551,0.6074508160352707,0.4614130868762731,0.3256185345761307
20231205_Step_91_FInalRound_Clinical-T5_v1.00,2023-12-05 21:51:59,20231201_Clinic-T5-Lrg_9ep_Summ_Loss_0.93,200.0,0.3433858939532904,0.1701505396851147,0.2886983176534931,0.2886983176534931,0.6469611376523972,0.6695783644914627,0.6534873068332672,0.4978533152863383,0.3737122818441662
20231205_Step_90_FInalRound_Clinical-T5_v1.00,2023-12-05 21:41:47,20231201_Clinic-T5-Lrg_12ep_Summ_Loss_1.06,200.0,0.3433858939532904,0.1701505396851147,0.2886983176534931,0.2886983176534931,0.6469611376523972,0.6695783644914627,0.6534873068332672,0.4978533152863383,0.3737122818441662
20231205_Step_89_Back2BioBart_Tr_53_v3.20,2023-12-05 20:48:52,20231201_BioBart-Large_14ep_Summ_Loss_0.93,200.0,0.3723252615243512,0.1770333476058527,0.3103254067133668,0.3103254067133668,0.6937306016683579,0.6935342729091645,0.6879582285881043,0.5049349311366677,0.3938170970469516
20231205_Step_89_Back2BioBart_Tr_52_v3.20,2023-12-05 20:43:13,20231201_BioBart-Large_8ep_Summ_Loss_0.84,200.0,0.3723252615243512,0.1770333476058527,0.3103254067133668,0.3103254067133668,0.6937306016683579,0.6935342729091645,0.6879582285881043,0.5049349311366677,0.3938170970469516
20231205_Step_89_Back2BioBart_Tr_51_v3.20,2023-12-05 20:35:52,20231130_BioBart-Base_14ep_Summ_0.75,200.0,0.365522096706896,0.1734585821620092,0.3046123251279824,0.3046123251279824,0.7008895605802536,0.6820672005414963,0.685409066081047,0.4877551481127739,0.3868949238864484
20231205_Step_89_Back2BioBart_Tr_50_v3.20,2023-12-05 20:27:22,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.1907491664410548,0.3424705704184084,0.3424705704184084,0.7289184838533401,0.6932983726263047,0.7042844712734222,0.5148467225581407,0.4165610395649952
20231205_Step_89_Back2BioBart_Tr_49_v3.20,2023-12-05 20:19:24,20231130_BioBart-Base_5ep_Summ_Loss_0.76,200.0,0.3966436022508515,0.1905831517343405,0.3405521679231576,0.3405521679231576,0.7232639133930207,0.6881262838840485,0.6994593411684036,0.5117697178944945,0.4132600248157342
20231205_Step_89_Back2BioBart_Tr_47_v3.20,2023-12-05 19:54:44,20231130_BioBart-Base_5ep_Summ_Loss_0.76,200.0,0.3966436022508515,0.1905831517343405,0.3405521679231576,0.3405521679231576,0.7232639133930207,0.6881262838840485,0.6994593411684036,0.5117697178944945,0.4132600248157342
20231205_Step_89_Back2BioBart_Tr_45_v3.20,2023-12-05 19:47:20,20231129_BioBart-Base_1ep_Summ_Loss_0.75,200.0,0.3365049416283893,0.1554839727284616,0.2831318966268873,0.2831318966268873,0.7061972856521607,0.6589649379253387,0.6756175935268403,0.4682421844825148,0.3670187476033301
